0	0	0	0
1	13	13	13
2	27	27	27
3	40	40	40
4	54	54	54
5	67	67	67
6	80	80	80
7	94	94	94
8	107	107	107
9	121	121	121
10	134	134	134
11	148	148	148
12	161	161	161
13	174	174	174
14	188	188	188
15	201	201	201
16	0	22	0
17	13	35	0
18	27	49	0
19	40	62	0
20	54	75	0
21	67	89	0
22	80	102	0
23	94	116	0
24	107	129	0
25	121	142	9
26	134	156	22
27	148	169	35
28	161	183	49
29	174	196	62
30	188	210	76
31	201	223	89
32	27	6	0
33	41	19	0
34	54	33	0
35	68	46	0
36	81	59	0
37	94	73	0
38	108	86	0
39	121	100	0
40	135	113	6
41	148	126	20
42	161	140	33
43	175	153	47
44	188	167	60
45	202	180	73
46	215	193	87
47	228	207	100
48	49	0	0
49	63	2	0
50	76	15	0
51	89	29	0
52	103	42	0
53	116	56	0
54	130	69	11
55	143	82	24
56	156	96	37
57	170	109	51
58	183	123	64
59	197	136	78
60	210	149	91
61	224	163	104
62	237	176	118
63	250	190	131
64	61	0	0
65	75	0	0
66	88	0	2
67	102	14	15
68	115	27	29
69	128	41	42
70	142	54	56
71	155	68	69
72	169	81	82
73	182	94	96
74	195	108	109
75	209	121	123
76	222	135	136
77	236	148	149
78	249	161	163
79	255	175	176
80	61	0	25
81	75	0	38
82	88	0	52
83	102	4	65
84	115	18	79
85	128	31	92
86	142	44	105
87	155	58	119
88	169	71	132
89	182	85	146
90	195	98	159
91	209	111	172
92	222	125	186
93	236	138	199
94	249	152	213
95	255	165	226
96	49	0	70
97	63	0	83
98	76	0	97
99	89	2	110
100	103	15	124
101	116	28	137
102	130	42	150
103	143	55	164
104	156	69	177
105	170	82	191
106	183	96	204
107	197	109	217
108	210	122	231
109	224	136	244
110	237	149	255
111	250	163	255
112	27	0	101
113	41	0	114
114	54	0	128
115	68	7	141
116	81	20	155
117	94	34	168
118	108	47	181
119	121	60	195
120	135	74	208
121	148	87	222
122	161	101	235
123	175	114	249
124	188	127	255
125	202	141	255
126	215	154	255
127	228	168	255
128	0	0	112
129	13	0	125
130	27	5	139
131	40	18	152
132	54	32	166
133	67	45	179
134	80	59	193
135	94	72	206
136	107	86	219
137	121	99	233
138	134	112	246
139	148	126	255
140	161	139	255
141	174	153	255
142	188	166	255
143	201	179	255
144	0	0	101
145	0	8	114
146	0	21	128
147	13	35	141
148	26	48	155
149	40	61	168
150	53	75	181
151	67	88	195
152	80	102	208
153	93	115	222
154	107	128	235
155	120	142	249
156	134	155	255
157	147	169	255
158	161	182	255
159	174	195	255
160	0	11	70
161	0	25	83
162	0	38	97
163	0	52	110
164	5	65	124
165	18	79	137
166	31	92	150
167	45	105	164
168	58	119	177
169	72	132	191
170	85	146	204
171	98	159	217
172	112	172	231
173	125	186	244
174	139	199	255
175	152	213	255
176	0	26	25
177	0	40	38
178	0	53	52
179	0	67	65
180	0	80	79
181	6	93	92
182	19	107	105
183	33	120	119
184	46	134	132
185	59	147	146
186	73	161	159
187	86	174	172
188	100	187	186
189	113	201	199
190	127	214	213
191	140	228	226
192	0	36	0
193	0	49	0
194	0	63	2
195	0	76	15
196	0	90	29
197	6	103	42
198	19	117	56
199	33	130	69
200	46	143	82
201	59	157	96
202	73	170	109
203	86	184	123
204	100	197	136
205	113	210	149
206	127	224	163
207	140	237	176
208	0	39	0
209	0	52	0
210	0	65	0
211	0	79	0
212	5	92	0
213	18	106	0
214	31	119	11
215	45	132	24
216	58	146	37
217	72	159	51
218	85	173	64
219	98	186	78
220	112	200	91
221	125	213	104
222	139	226	118
223	152	240	131
224	0	33	0
225	0	47	0
226	0	60	0
227	13	74	0
228	26	87	0
229	40	101	0
230	53	114	0
231	67	127	0
232	80	141	6
233	93	154	20
234	107	168	33
235	120	181	47
236	134	194	60
237	147	208	73
238	161	221	87
239	174	235	100
240	0	22	0
241	13	35	0
242	27	49	0
243	40	62	0
244	54	75	0
245	67	89	0
246	80	102	0
247	94	116	0
248	107	129	0
249	121	142	9
250	134	156	22
251	148	169	35
252	161	183	49
253	174	196	62
254	188	210	76
255	201	223	89
